sex,age,absences,G1,G2,G3,Subject
F,18,6,5,6,6,Maths
F,17,4,5,5,6,Maths
F,15,10,7,8,10,Maths
F,15,2,15,14,15,Maths
F,16,4,6,10,10,Maths
M,16,10,15,15,15,Maths
M,16,0,12,12,11,Maths
F,17,6,6,5,6,Maths
M,15,0,16,18,19,Maths
M,15,0,14,15,15,Maths
F,15,0,10,8,9,Maths
F,15,4,10,12,12,Maths
M,15,2,14,14,14,Maths
M,15,2,10,10,11,Maths
M,15,0,14,16,16,Maths
F,16,4,14,14,14,Maths
F,16,6,13,14,14,Maths
F,16,4,8,10,10,Maths
M,17,16,6,5,5,Maths
M,16,4,8,10,10,Maths
M,15,0,13,14,15,Maths
M,15,0,12,15,15,Maths
M,16,2,15,15,16,Maths
M,16,0,13,13,12,Maths
F,15,2,10,9,8,Maths
F,16,14,6,9,8,Maths
M,15,2,12,12,11,Maths
M,15,4,15,16,15,Maths
M,16,4,11,11,11,Maths
M,16,16,10,12,11,Maths
M,15,0,9,11,12,Maths
M,15,0,17,16,17,Maths
M,15,0,17,16,16,Maths
M,15,0,8,10,12,Maths
M,16,0,12,14,15,Maths
F,15,0,8,7,6,Maths
M,15,2,15,16,18,Maths
M,16,7,15,16,15,Maths
F,15,2,12,12,11,Maths
F,15,8,14,13,13,Maths
F,16,25,7,10,11,Maths
M,15,8,12,12,12,Maths
M,15,2,19,18,18,Maths
M,15,0,8,8,11,Maths
F,16,14,10,10,9,Maths
F,15,8,8,8,6,Maths
F,16,12,11,12,11,Maths
M,16,4,19,19,20,Maths
M,15,2,15,15,14,Maths
F,15,2,7,7,7,Maths
F,16,2,12,13,13,Maths
F,15,2,11,13,13,Maths
M,15,6,11,11,10,Maths
F,15,0,8,10,11,Maths
F,15,6,10,13,13,Maths
F,16,8,8,9,10,Maths
F,15,0,14,15,15,Maths
M,15,4,14,15,15,Maths
M,15,2,9,10,9,Maths
F,16,2,15,16,16,Maths
F,16,6,10,11,11,Maths
F,16,6,10,8,11,Maths
F,16,4,8,10,9,Maths
F,16,2,10,9,9,Maths
F,15,0,10,10,10,Maths
F,16,2,16,15,15,Maths
M,15,4,13,13,12,Maths
F,16,4,7,7,6,Maths
F,15,2,8,9,8,Maths
F,15,12,16,16,16,Maths
M,16,0,13,15,15,Maths
M,15,0,10,10,10,Maths
F,15,2,8,6,5,Maths
M,16,2,12,12,14,Maths
F,16,54,11,12,11,Maths
M,15,6,9,9,10,Maths
M,15,8,11,11,10,Maths
F,16,0,11,11,11,Maths
M,17,2,8,8,10,Maths
F,16,12,5,5,5,Maths
M,15,2,10,12,12,Maths
M,15,4,11,10,11,Maths
F,15,10,7,6,6,Maths
M,15,4,15,15,15,Maths
F,15,2,9,10,10,Maths
F,15,6,7,9,8,Maths
F,16,4,8,7,6,Maths
F,15,4,13,14,14,Maths
M,16,12,11,10,10,Maths
M,16,18,8,6,7,Maths
F,16,0,7,7,8,Maths
F,15,4,16,17,18,Maths
F,16,4,7,6,6,Maths
F,16,0,11,10,10,Maths
M,15,6,11,13,14,Maths
F,15,2,7,10,10,Maths
M,16,2,11,15,15,Maths
F,16,2,8,9,10,Maths
F,16,6,11,14,14,Maths
F,16,0,7,9,8,Maths
M,16,14,7,7,5,Maths
M,16,0,16,17,17,Maths
M,15,4,10,13,14,Maths
F,15,26,7,6,6,Maths
M,15,0,16,18,18,Maths
F,15,10,10,11,11,Maths
F,15,8,7,8,8,Maths
M,16,2,16,18,18,Maths
M,15,6,10,13,13,Maths
F,16,4,14,15,16,Maths
M,15,6,18,19,19,Maths
F,16,0,7,10,10,Maths
F,16,6,10,13,13,Maths
M,15,10,18,19,19,Maths
M,15,8,9,9,9,Maths
M,16,2,15,15,16,Maths
M,15,2,11,13,14,Maths
M,16,0,13,14,13,Maths
M,17,20,9,7,8,Maths
M,15,6,14,13,13,Maths
F,15,2,16,15,15,Maths
M,15,6,16,14,15,Maths
F,16,2,13,13,13,Maths
M,16,18,14,11,13,Maths
F,16,0,8,7,8,Maths
M,15,0,13,13,12,Maths
F,15,0,7,10,11,Maths
F,19,2,7,8,9,Maths
M,16,8,18,18,18,Maths
F,17,12,10,13,12,Maths
F,16,16,12,11,11,Maths
M,16,0,14,12,12,Maths
F,15,0,16,16,15,Maths
M,16,8,9,9,9,Maths
F,15,2,9,11,11,Maths
F,16,2,14,14,13,Maths
F,15,0,8,11,11,Maths
F,15,2,10,11,11,Maths
M,15,0,8,9,10,Maths
M,16,6,12,13,14,Maths
F,15,8,10,10,10,Maths
F,17,0,11,11,12,Maths
M,15,2,11,8,8,Maths
M,17,8,16,12,13,Maths
F,18,6,9,8,10,Maths
M,16,2,17,15,15,Maths
M,16,4,10,12,12,Maths
M,15,6,5,9,7,Maths
M,17,2,10,10,10,Maths
M,17,0,5,8,7,Maths
M,16,16,12,11,12,Maths
M,16,4,10,10,10,Maths
F,16,0,14,15,16,Maths
F,16,0,14,14,14,Maths
M,16,2,13,15,16,Maths
M,17,0,13,11,10,Maths
F,16,4,10,11,9,Maths
M,17,4,10,9,9,Maths
F,16,2,13,13,11,Maths
M,17,4,6,5,6,Maths
M,16,10,10,8,9,Maths
M,17,4,10,10,11,Maths
M,16,10,9,8,8,Maths
M,16,2,12,13,12,Maths
F,17,0,16,17,17,Maths
F,17,56,9,9,8,Maths
F,16,14,12,13,12,Maths
M,17,12,12,12,11,Maths
M,16,2,11,12,11,Maths
M,16,0,15,15,15,Maths
F,17,6,8,7,9,Maths
M,17,4,8,9,10,Maths
F,16,10,11,12,13,Maths
F,17,0,8,8,9,Maths
M,17,12,7,8,8,Maths
M,16,8,8,9,10,Maths
M,16,0,13,14,14,Maths
F,17,0,14,15,15,Maths
M,17,4,17,15,16,Maths
M,16,8,9,9,10,Maths
F,17,24,18,18,18,Maths
F,16,0,9,9,10,Maths
F,16,2,16,16,16,Maths
F,16,6,8,10,10,Maths
F,17,4,9,9,10,Maths
F,17,18,7,6,6,Maths
F,16,6,10,10,11,Maths
F,17,28,10,9,9,Maths
F,16,5,7,7,7,Maths
F,16,10,11,12,13,Maths
F,16,6,9,9,10,Maths
F,17,6,7,7,7,Maths
F,19,10,8,8,8,Maths
M,17,13,12,12,13,Maths
F,16,0,12,13,14,Maths
M,18,15,6,7,8,Maths
F,17,12,8,10,10,Maths
F,17,2,14,15,15,Maths
F,17,22,6,6,4,Maths
M,18,13,6,6,8,Maths
F,17,3,7,7,8,Maths
F,17,4,9,10,10,Maths
F,17,2,6,6,6,Maths
F,16,2,16,16,17,Maths
M,18,0,12,13,13,Maths
F,16,0,13,13,14,Maths
F,18,16,9,8,7,Maths
F,17,10,16,15,15,Maths
M,17,2,12,11,12,Maths
M,18,14,10,8,9,Maths
F,17,10,12,10,12,Maths
F,17,14,13,13,14,Maths
M,17,4,11,11,11,Maths
M,17,14,11,9,9,Maths
M,16,2,14,13,13,Maths
M,16,18,9,7,6,Maths
M,16,10,11,9,10,Maths
M,17,4,14,13,13,Maths
F,16,20,13,12,12,Maths
F,17,2,13,11,11,Maths
M,17,14,12,12,12,Maths
M,17,2,10,11,12,Maths
M,16,0,13,12,12,Maths
M,16,6,18,18,18,Maths
M,17,4,12,12,13,Maths
M,22,16,6,8,8,Maths
M,18,8,3,5,5,Maths
M,16,0,13,15,15,Maths
M,18,0,6,8,8,Maths
M,16,6,7,10,10,Maths
M,18,4,6,9,8,Maths
M,16,0,8,9,8,Maths
M,17,0,8,12,12,Maths
M,17,2,7,9,8,Maths
F,17,6,14,12,13,Maths
M,19,12,11,11,11,Maths
M,18,8,15,14,14,Maths
F,18,21,17,18,18,Maths
M,18,2,8,8,8,Maths
M,18,1,13,12,12,Maths
F,17,4,10,9,9,Maths
M,18,13,17,17,17,Maths
M,17,2,9,9,10,Maths
F,18,8,12,10,11,Maths
M,18,10,10,9,10,Maths
F,19,15,9,9,9,Maths
F,18,4,15,14,14,Maths
F,18,2,11,11,11,Maths
M,17,2,15,14,14,Maths
F,17,2,10,10,10,Maths
F,17,6,12,12,12,Maths
F,18,75,10,9,9,Maths
M,18,22,9,9,9,Maths
F,18,15,9,8,8,Maths
M,18,8,10,11,10,Maths
M,17,30,8,8,8,Maths
M,17,19,11,9,10,Maths
F,18,1,12,12,12,Maths
F,18,4,8,9,10,Maths
F,17,4,10,9,11,Maths
M,17,2,12,10,11,Maths
F,18,5,18,18,19,Maths
F,17,6,13,12,12,Maths
M,18,6,15,14,14,Maths
M,18,9,15,13,15,Maths
M,18,11,12,11,11,Maths
F,17,0,15,15,15,Maths
F,18,12,12,12,13,Maths
F,17,6,18,18,18,Maths
M,18,8,14,13,14,Maths
M,17,4,14,12,11,Maths
F,18,10,10,8,8,Maths
F,18,0,14,13,14,Maths
M,18,5,16,15,16,Maths
F,18,14,12,10,11,Maths
M,17,0,11,11,10,Maths
F,17,0,15,12,14,Maths
F,17,0,17,17,18,Maths
M,19,20,15,14,13,Maths
F,18,8,14,12,12,Maths
M,20,0,17,18,18,Maths
M,19,38,8,9,8,Maths
M,19,0,15,12,12,Maths
F,19,18,12,10,10,Maths
F,19,20,14,12,13,Maths
M,19,3,13,11,11,Maths
F,19,22,13,10,11,Maths
F,19,14,15,13,13,Maths
F,19,40,13,11,11,Maths
F,18,9,9,10,9,Maths
F,17,0,11,11,10,Maths
F,18,2,11,11,11,Maths
F,17,23,13,13,13,Maths
F,17,12,11,9,9,Maths
F,17,3,11,11,11,Maths
F,17,1,12,14,15,Maths
F,17,0,16,15,15,Maths
M,18,3,9,12,11,Maths
M,17,3,14,15,16,Maths
M,17,8,11,10,10,Maths
F,17,7,10,9,9,Maths
F,17,4,14,14,14,Maths
M,18,2,9,8,8,Maths
F,17,7,12,14,14,Maths
F,17,16,16,15,15,Maths
F,19,12,14,13,13,Maths
F,18,7,16,15,17,Maths
F,17,4,9,10,10,Maths
F,19,4,11,12,11,Maths
M,18,11,16,15,15,Maths
F,18,4,11,10,10,Maths
F,18,7,13,13,14,Maths
M,18,9,16,15,16,Maths
M,18,0,10,10,9,Maths
F,17,0,13,15,15,Maths
M,18,10,11,13,13,Maths
M,19,8,8,7,8,Maths
M,17,2,13,13,13,Maths
M,18,7,8,7,8,Maths
M,19,4,8,8,8,Maths
M,17,4,13,11,11,Maths
F,18,0,10,9,9,Maths
F,17,4,12,13,13,Maths
F,17,2,12,12,11,Maths
M,18,4,10,10,10,Maths
F,18,0,18,16,16,Maths
F,18,0,13,13,13,Maths
M,18,2,13,12,12,Maths
F,18,0,11,11,10,Maths
F,17,0,16,15,15,Maths
F,17,0,12,11,12,Maths
M,18,4,10,10,10,Maths
M,18,0,13,13,13,Maths
F,18,0,11,10,10,Maths
F,18,10,14,12,11,Maths
F,19,4,7,7,9,Maths
M,18,3,14,12,12,Maths
F,17,8,13,11,11,Maths
F,17,14,6,5,5,Maths
F,18,0,19,18,19,Maths
F,18,2,8,8,10,Maths
F,20,4,15,14,15,Maths
F,18,4,8,9,10,Maths
F,18,0,15,15,15,Maths
F,17,17,10,10,10,Maths
M,18,4,15,14,14,Maths
M,18,5,7,6,7,Maths
M,17,2,11,11,10,Maths
M,18,14,6,5,5,Maths
F,18,2,10,9,10,Maths
F,18,7,6,5,6,Maths
F,18,0,7,9,8,Maths
M,20,11,9,9,9,Maths
M,17,3,14,16,16,Maths
M,21,3,10,8,7,Maths
M,18,0,11,12,10,Maths
M,19,5,8,9,9,Maths
F,18,4,0,11,11,Language
F,17,2,9,11,11,Language
F,15,6,12,13,12,Language
F,15,0,14,14,14,Language
F,16,0,11,13,13,Language
M,16,6,12,12,13,Language
M,16,0,13,12,13,Language
F,17,2,10,13,13,Language
M,15,0,15,16,17,Language
M,15,0,12,12,13,Language
F,15,2,14,14,14,Language
F,15,0,10,12,13,Language
M,15,0,12,13,12,Language
M,15,0,12,12,13,Language
M,15,0,14,14,15,Language
F,16,6,17,17,17,Language
F,16,10,13,13,14,Language
F,16,2,13,14,14,Language
M,17,2,8,8,7,Language
M,16,6,12,12,12,Language
M,15,0,12,13,14,Language
M,15,0,11,12,12,Language
M,16,0,12,13,14,Language
M,16,2,10,10,10,Language
F,15,2,10,11,10,Language
F,16,6,10,11,12,Language
M,15,8,11,12,12,Language
M,15,0,11,11,11,Language
M,16,2,12,12,13,Language
M,16,4,12,11,12,Language
M,15,0,10,11,11,Language
M,15,2,15,15,15,Language
M,15,0,13,14,15,Language
M,15,0,13,12,12,Language
M,16,4,12,12,12,Language
F,15,4,11,11,11,Language
M,15,0,14,14,14,Language
M,16,4,13,13,13,Language
F,15,2,11,12,12,Language
F,15,8,14,13,12,Language
F,16,16,11,11,10,Language
M,15,8,10,11,11,Language
M,15,0,14,15,15,Language
M,15,0,9,10,10,Language
F,16,14,10,11,11,Language
F,15,4,10,11,11,Language
F,16,6,13,12,13,Language
M,16,2,17,17,17,Language
M,15,4,11,12,13,Language
F,15,2,13,12,12,Language
F,16,0,14,13,13,Language
F,15,0,16,14,16,Language
M,15,4,10,9,9,Language
F,15,0,13,12,12,Language
F,15,0,13,12,13,Language
F,16,2,12,13,12,Language
F,15,0,15,14,15,Language
M,15,8,15,15,16,Language
M,15,0,14,13,14,Language
F,16,2,16,15,16,Language
F,16,0,17,16,16,Language
F,16,0,10,10,16,Language
F,16,0,13,13,10,Language
F,16,0,14,13,13,Language
F,15,0,13,12,12,Language
F,16,2,16,15,16,Language
M,15,0,11,12,12,Language
F,16,0,10,9,10,Language
F,15,0,11,10,11,Language
F,15,6,15,15,15,Language
M,16,2,13,11,11,Language
M,15,0,11,9,10,Language
F,15,2,13,11,11,Language
M,16,0,13,13,14,Language
F,16,4,11,11,11,Language
M,15,0,11,11,11,Language
M,15,0,12,11,11,Language
F,16,1,13,13,13,Language
M,17,0,9,9,10,Language
F,16,14,12,11,11,Language
M,15,0,11,11,12,Language
M,15,2,10,9,9,Language
F,15,4,12,11,11,Language
M,15,2,13,12,13,Language
F,15,2,13,12,12,Language
F,15,4,12,11,12,Language
F,16,6,13,11,11,Language
F,15,4,15,15,15,Language
M,16,6,12,10,11,Language
M,16,6,9,9,10,Language
F,16,2,9,11,11,Language
F,15,6,14,13,13,Language
F,16,0,12,13,12,Language
F,16,2,13,14,14,Language
M,15,2,11,12,12,Language
F,15,4,13,13,13,Language
M,16,6,9,11,11,Language
F,16,0,13,12,12,Language
F,16,4,12,13,13,Language
F,16,2,12,13,13,Language
M,16,12,9,9,8,Language
M,16,0,16,16,16,Language
M,15,2,12,13,12,Language
F,15,16,11,10,10,Language
M,15,0,16,16,16,Language
F,15,10,10,10,10,Language
F,15,4,10,10,10,Language
M,16,4,13,14,14,Language
M,15,8,12,10,11,Language
F,16,2,15,15,14,Language
M,15,4,13,14,14,Language
F,16,4,11,11,11,Language
F,16,12,8,10,10,Language
M,15,10,18,17,18,Language
M,15,4,10,9,10,Language
M,16,6,16,14,14,Language
M,15,4,16,15,16,Language
M,16,6,14,14,15,Language
M,17,14,12,11,11,Language
M,15,2,14,13,14,Language
F,15,0,14,14,14,Language
M,15,6,14,13,13,Language
F,16,2,14,12,13,Language
M,16,4,12,13,13,Language
F,16,0,12,11,11,Language
M,15,2,9,9,9,Language
F,15,0,10,11,11,Language
F,19,0,9,10,11,Language
M,16,8,14,14,15,Language
M,16,4,13,12,13,Language
F,15,0,10,11,12,Language
F,18,10,10,9,8,Language
F,17,8,11,10,11,Language
F,15,6,11,12,13,Language
F,17,2,13,12,12,Language
F,16,12,15,13,14,Language
M,16,4,9,9,11,Language
F,16,12,13,11,11,Language
M,15,2,12,11,11,Language
F,15,4,13,14,15,Language
M,17,2,10,9,10,Language
F,16,0,14,13,13,Language
M,18,2,11,11,12,Language
F,18,10,12,11,11,Language
F,16,8,12,11,11,Language
F,16,4,9,9,10,Language
M,16,0,10,10,10,Language
F,15,6,13,14,14,Language
F,15,2,8,9,9,Language
M,15,6,9,11,11,Language
F,15,24,9,8,9,Language
M,16,0,15,13,13,Language
M,16,4,12,11,11,Language
F,15,2,13,13,13,Language
F,16,4,10,11,11,Language
M,17,22,9,7,6,Language
F,15,0,12,12,12,Language
F,15,0,11,10,10,Language
